日期,收盘,开盘,高,低,交易量,涨跌幅
2017年5月31日,878,878,878,878,-,-2.44%
2017年6月1日,850,850,850,850,-,-3.19%
2017年6月2日,830,830,830,830,-,-2.35%
2017年6月5日,821,821,821,821,-,-1.08%
2017年6月6日,818,818,818,818,-,-0.37%
2017年6月7日,821,821,821,821,-,0.37%
2017年6月8日,824,824,824,824,-,0.37%
2017年6月9日,849,849,849,849,-,3.03%
2017年6月12日,870,870,870,870,-,2.47%
2017年6月13日,870,870,870,870,-,0.00%
2017年6月14日,865,865,865,865,-,-0.57%
2017年6月15日,855,855,855,855,-,-1.16%
2017年6月16日,851,851,851,851,-,-0.47%
2017年6月19日,848,848,848,848,-,-0.35%
2017年6月20日,847,847,847,847,-,-0.12%
2017年6月21日,844,844,844,844,-,-0.35%
2017年6月22日,855,855,855,855,-,1.30%
2017年6月23日,870,870,870,870,-,1.75%
2017年6月26日,884,884,884,884,-,1.61%
2017年6月27日,903,903,903,903,-,2.15%
2017年6月28日,929,929,929,929,-,2.88%
2017年6月29日,920,920,920,920,-,-0.97%
2017年6月30日,901,901,901,901,-,-2.07%
2017年7月3日,882,882,882,882,-,-2.11%
2017年7月4日,871,871,871,871,-,-1.25%
2017年7月5日,847,847,847,847,-,-2.76%
2017年7月6日,829,829,829,829,-,-2.13%
2017年7月7日,822,822,822,822,-,-0.84%
2017年7月10日,820,820,820,820,-,-0.24%
2017年7月11日,830,830,830,830,-,1.22%
2017年7月12日,859,859,859,859,-,3.49%
2017年7月13日,888,888,888,888,-,3.38%
2017年7月14日,900,900,900,900,-,1.35%
2017年7月17日,912,912,912,912,-,1.33%
2017年7月18日,932,932,932,932,-,2.19%
2017年7月19日,948,948,948,948,-,1.72%
2017年7月20日,964,964,964,964,-,1.69%
2017年7月21日,977,977,977,977,-,1.35%
2017年7月24日,977,977,977,977,-,0.00%
2017年7月25日,980,980,980,980,-,0.31%
2017年7月26日,968,968,968,968,-,-1.22%
2017年7月27日,942,942,942,942,-,-2.69%
2017年7月28日,933,933,933,933,-,-0.96%
2017年7月31日,946,946,946,946,-,1.39%
2017年8月1日,965,965,965,965,-,2.01%
2017年8月2日,993,993,993,993,-,2.90%
2017年8月3日,"1,023.00","1,023.00","1,023.00","1,023.00",-,3.02%
2017年8月4日,"1,032.00","1,032.00","1,032.00","1,032.00",-,0.88%
2017年8月7日,"1,036.00","1,036.00","1,036.00","1,036.00",-,0.39%
2017年8月8日,"1,038.00","1,038.00","1,038.00","1,038.00",-,0.19%
2017年8月9日,"1,050.00","1,050.00","1,050.00","1,050.00",-,1.16%
2017年8月10日,"1,092.00","1,092.00","1,092.00","1,092.00",-,4.00%
2017年8月11日,"1,138.00","1,138.00","1,138.00","1,138.00",-,4.21%
2017年8月14日,"1,155.00","1,155.00","1,155.00","1,155.00",-,1.49%
2017年8月15日,"1,169.00","1,169.00","1,169.00","1,169.00",-,1.21%
2017年8月16日,"1,207.00","1,207.00","1,207.00","1,207.00",-,3.25%
2017年8月17日,"1,247.00","1,247.00","1,247.00","1,247.00",-,3.31%
2017年8月18日,"1,260.00","1,260.00","1,260.00","1,260.00",-,1.04%
2017年8月21日,"1,266.00","1,266.00","1,266.00","1,266.00",-,0.48%
2017年8月22日,"1,249.00","1,249.00","1,249.00","1,249.00",-,-1.34%
2017年8月23日,"1,222.00","1,222.00","1,222.00","1,222.00",-,-2.16%
2017年8月24日,"1,200.00","1,200.00","1,200.00","1,200.00",-,-1.80%
2017年8月25日,"1,209.00","1,209.00","1,209.00","1,209.00",-,0.75%
2017年8月29日,"1,203.00","1,203.00","1,203.00","1,203.00",-,-0.50%
2017年8月30日,"1,181.00","1,181.00","1,181.00","1,181.00",-,-1.83%
2017年8月31日,"1,184.00","1,184.00","1,184.00","1,184.00",-,0.25%
2017年9月1日,"1,183.00","1,183.00","1,183.00","1,183.00",-,-0.08%
2017年9月4日,"1,187.00","1,187.00","1,187.00","1,187.00",-,0.34%
2017年9月5日,"1,215.00","1,215.00","1,215.00","1,215.00",-,2.36%
2017年9月6日,"1,250.00","1,250.00","1,250.00","1,250.00",-,2.88%
2017年9月7日,"1,296.00","1,296.00","1,296.00","1,296.00",-,3.68%
2017年9月8日,"1,332.00","1,332.00","1,332.00","1,332.00",-,2.78%
2017年9月11日,"1,355.00","1,355.00","1,355.00","1,355.00",-,1.73%
2017年9月12日,"1,344.00","1,344.00","1,344.00","1,344.00",-,-0.81%
2017年9月13日,"1,337.00","1,337.00","1,337.00","1,337.00",-,-0.52%
2017年9月14日,"1,361.00","1,361.00","1,361.00","1,361.00",-,1.80%
2017年9月15日,"1,385.00","1,385.00","1,385.00","1,385.00",-,1.76%
2017年9月18日,"1,398.00","1,398.00","1,398.00","1,398.00",-,0.94%
2017年9月19日,"1,415.00","1,415.00","1,415.00","1,415.00",-,1.22%
2017年9月20日,"1,449.00","1,449.00","1,449.00","1,449.00",-,2.40%
2017年9月21日,"1,470.00","1,470.00","1,470.00","1,470.00",-,1.45%
2017年9月22日,"1,502.00","1,502.00","1,502.00","1,502.00",-,2.18%
2017年9月25日,"1,503.00","1,503.00","1,503.00","1,503.00",-,0.07%
2017年9月26日,"1,476.00","1,476.00","1,476.00","1,476.00",-,-1.80%
2017年9月27日,"1,429.00","1,429.00","1,429.00","1,429.00",-,-3.18%
2017年9月28日,"1,391.00","1,391.00","1,391.00","1,391.00",-,-2.66%
2017年9月29日,"1,356.00","1,356.00","1,356.00","1,356.00",-,-2.52%
2017年10月2日,"1,328.00","1,328.00","1,328.00","1,328.00",-,-2.06%
2017年10月3日,"1,308.00","1,308.00","1,308.00","1,308.00",-,-1.51%
2017年10月4日,"1,320.00","1,320.00","1,320.00","1,320.00",-,0.92%
2017年10月5日,"1,382.00","1,382.00","1,382.00","1,382.00",-,4.70%
2017年10月6日,"1,405.00","1,405.00","1,405.00","1,405.00",-,1.66%
2017年10月9日,"1,411.00","1,411.00","1,411.00","1,411.00",-,0.43%
2017年10月10日,"1,418.00","1,418.00","1,418.00","1,418.00",-,0.50%
2017年10月11日,"1,433.00","1,433.00","1,433.00","1,433.00",-,1.06%
2017年10月12日,"1,458.00","1,458.00","1,458.00","1,458.00",-,1.74%
2017年10月13日,"1,485.00","1,485.00","1,485.00","1,485.00",-,1.85%
2017年10月16日,"1,523.00","1,523.00","1,523.00","1,523.00",-,2.56%
2017年10月17日,"1,552.00","1,552.00","1,552.00","1,552.00",-,1.90%
2017年10月18日,"1,566.00","1,566.00","1,566.00","1,566.00",-,0.90%
2017年10月19日,"1,582.00","1,582.00","1,582.00","1,582.00",-,1.02%
2017年10月20日,"1,578.00","1,578.00","1,578.00","1,578.00",-,-0.25%
2017年10月23日,"1,586.00","1,586.00","1,586.00","1,586.00",-,0.51%
2017年10月24日,"1,588.00","1,588.00","1,588.00","1,588.00",-,0.13%
2017年10月25日,"1,573.00","1,573.00","1,573.00","1,573.00",-,-0.94%
2017年10月26日,"1,555.00","1,555.00","1,555.00","1,555.00",-,-1.14%
2017年10月27日,"1,546.00","1,546.00","1,546.00","1,546.00",-,-0.58%
2017年10月30日,"1,534.00","1,534.00","1,534.00","1,534.00",-,-0.78%
2017年10月31日,"1,522.00","1,522.00","1,522.00","1,522.00",-,-0.78%
2017年11月1日,"1,496.00","1,496.00","1,496.00","1,496.00",-,-1.71%
2017年11月2日,"1,482.00","1,482.00","1,482.00","1,482.00",-,-0.94%
2017年11月3日,"1,476.00","1,476.00","1,476.00","1,476.00",-,-0.40%
2017年11月6日,"1,473.00","1,473.00","1,473.00","1,473.00",-,-0.20%
2017年11月7日,"1,477.00","1,477.00","1,477.00","1,477.00",-,0.27%
2017年11月8日,"1,486.00","1,486.00","1,486.00","1,486.00",-,0.61%
2017年11月9日,"1,481.00","1,481.00","1,481.00","1,481.00",-,-0.34%
2017年11月10日,"1,464.00","1,464.00","1,464.00","1,464.00",-,-1.15%
2017年11月13日,"1,445.00","1,445.00","1,445.00","1,445.00",-,-1.30%
2017年11月14日,"1,405.00","1,405.00","1,405.00","1,405.00",-,-2.77%
2017年11月15日,"1,374.00","1,374.00","1,374.00","1,374.00",-,-2.21%
2017年11月16日,"1,361.00","1,361.00","1,361.00","1,361.00",-,-0.95%
2017年11月17日,"1,371.00","1,371.00","1,371.00","1,371.00",-,0.73%
2017年11月20日,"1,385.00","1,385.00","1,385.00","1,385.00",-,1.02%
2017年11月21日,"1,396.00","1,396.00","1,396.00","1,396.00",-,0.79%
2017年11月22日,"1,413.00","1,413.00","1,413.00","1,413.00",-,1.22%
2017年11月23日,"1,445.00","1,445.00","1,445.00","1,445.00",-,2.26%
2017年11月24日,"1,458.00","1,458.00","1,458.00","1,458.00",-,0.90%
