日期,收盘,开盘,高,低,交易量,涨跌幅
2018年7月16日,"1,695.00","1,695.00","1,695.00","1,695.00",-,1.74%
2018年7月17日,"1,721.00","1,721.00","1,721.00","1,721.00",-,1.53%
2018年7月18日,"1,688.00","1,688.00","1,688.00","1,688.00",-,-1.92%
2018年7月19日,"1,657.00","1,657.00","1,657.00","1,657.00",-,-1.84%
2018年7月20日,"1,689.00","1,689.00","1,689.00","1,689.00",-,1.93%
2018年7月23日,"1,718.00","1,718.00","1,718.00","1,718.00",-,1.72%
2018年7月24日,"1,774.00","1,774.00","1,774.00","1,774.00",-,3.26%
2018年7月25日,"1,772.00","1,772.00","1,772.00","1,772.00",-,-0.11%
2018年7月26日,"1,708.00","1,708.00","1,708.00","1,708.00",-,-3.61%
2018年7月27日,"1,676.00","1,676.00","1,676.00","1,676.00",-,-1.87%
2018年7月30日,"1,703.00","1,703.00","1,703.00","1,703.00",-,1.61%
2018年7月31日,"1,747.00","1,747.00","1,747.00","1,747.00",-,2.58%
2018年8月1日,"1,760.00","1,760.00","1,760.00","1,760.00",-,0.74%
2018年8月2日,"1,756.00","1,756.00","1,756.00","1,756.00",-,-0.23%
2018年8月3日,"1,773.00","1,773.00","1,773.00","1,773.00",-,0.97%
2018年8月6日,"1,773.00","1,773.00","1,773.00","1,773.00",-,0.00%
2018年8月7日,"1,732.00","1,732.00","1,732.00","1,732.00",-,-2.31%
2018年8月8日,"1,704.00","1,704.00","1,704.00","1,704.00",-,-1.62%
2018年8月9日,"1,694.00","1,694.00","1,694.00","1,694.00",-,-0.59%
2018年8月10日,"1,691.00","1,691.00","1,691.00","1,691.00",-,-0.18%
2018年8月13日,"1,709.00","1,709.00","1,709.00","1,709.00",-,1.06%
2018年8月14日,"1,725.00","1,725.00","1,725.00","1,725.00",-,0.94%
2018年8月15日,"1,727.00","1,727.00","1,727.00","1,727.00",-,0.12%
2018年8月16日,"1,720.00","1,720.00","1,720.00","1,720.00",-,-0.41%
2018年8月17日,"1,723.00","1,723.00","1,723.00","1,723.00",-,0.17%
2018年8月20日,"1,727.00","1,727.00","1,727.00","1,727.00",-,0.23%
2018年8月21日,"1,736.00","1,736.00","1,736.00","1,736.00",-,0.52%
2018年8月22日,"1,735.00","1,735.00","1,735.00","1,735.00",-,-0.06%
2018年8月23日,"1,709.00","1,709.00","1,709.00","1,709.00",-,-1.50%
2018年8月24日,"1,697.00","1,697.00","1,697.00","1,697.00",-,-0.70%
2018年8月28日,"1,684.00","1,684.00","1,684.00","1,684.00",-,-0.77%
2018年8月29日,"1,661.00","1,661.00","1,661.00","1,661.00",-,-1.37%
2018年8月30日,"1,614.00","1,614.00","1,614.00","1,614.00",-,-2.83%
2018年8月31日,"1,579.00","1,579.00","1,579.00","1,579.00",-,-2.17%
2018年9月3日,"1,557.00","1,557.00","1,557.00","1,557.00",-,-1.39%
2018年9月4日,"1,513.00","1,513.00","1,513.00","1,513.00",-,-2.83%
2018年9月5日,"1,477.00","1,477.00","1,477.00","1,477.00",-,-2.38%
2018年9月6日,"1,484.00","1,484.00","1,484.00","1,484.00",-,0.47%
2018年9月7日,"1,490.00","1,490.00","1,490.00","1,490.00",-,0.40%
2018年9月10日,"1,482.00","1,482.00","1,482.00","1,482.00",-,-0.54%
2018年9月11日,"1,439.00","1,439.00","1,439.00","1,439.00",-,-2.90%
2018年9月12日,"1,411.00","1,411.00","1,411.00","1,411.00",-,-1.95%
2018年9月13日,"1,382.00","1,382.00","1,382.00","1,382.00",-,-2.06%
2018年9月14日,"1,366.00","1,366.00","1,366.00","1,366.00",-,-1.16%
2018年9月17日,"1,357.00","1,357.00","1,357.00","1,357.00",-,-0.66%
2018年9月18日,"1,356.00","1,356.00","1,356.00","1,356.00",-,-0.07%
2018年9月19日,"1,373.00","1,373.00","1,373.00","1,373.00",-,1.25%
2018年9月20日,"1,396.00","1,396.00","1,396.00","1,396.00",-,1.68%
2018年9月21日,"1,413.00","1,413.00","1,413.00","1,413.00",-,1.22%
2018年9月24日,"1,434.00","1,434.00","1,434.00","1,434.00",-,1.49%
2018年9月25日,"1,450.00","1,450.00","1,450.00","1,450.00",-,1.12%
2018年9月26日,"1,503.00","1,503.00","1,503.00","1,503.00",-,3.66%
2018年9月27日,"1,524.00","1,524.00","1,524.00","1,524.00",-,1.40%
2018年9月28日,"1,540.00","1,540.00","1,540.00","1,540.00",-,1.05%
2018年10月1日,"1,555.00","1,555.00","1,555.00","1,555.00",-,0.97%
2018年10月2日,"1,570.00","1,570.00","1,570.00","1,570.00",-,0.96%
2018年10月3日,"1,574.00","1,574.00","1,574.00","1,574.00",-,0.25%
2018年10月4日,"1,554.00","1,554.00","1,554.00","1,554.00",-,-1.27%
2018年10月5日,"1,536.00","1,536.00","1,536.00","1,536.00",-,-1.16%
2018年10月8日,"1,530.00","1,530.00","1,530.00","1,530.00",-,-0.39%
2018年10月9日,"1,503.00","1,503.00","1,503.00","1,503.00",-,-1.76%
2018年10月10日,"1,493.00","1,493.00","1,493.00","1,493.00",-,-0.67%
2018年10月11日,"1,515.00","1,515.00","1,515.00","1,515.00",-,1.47%
2018年10月12日,"1,579.00","1,579.00","1,579.00","1,579.00",-,4.22%
2018年10月15日,"1,584.00","1,584.00","1,584.00","1,584.00",-,0.32%
2018年10月16日,"1,578.00","1,578.00","1,578.00","1,578.00",-,-0.38%
2018年10月17日,"1,554.00","1,554.00","1,554.00","1,554.00",-,-1.52%
2018年10月18日,"1,565.00","1,565.00","1,565.00","1,565.00",-,0.71%
2018年10月19日,"1,576.00","1,576.00","1,576.00","1,576.00",-,0.70%
2018年10月22日,"1,579.00","1,579.00","1,579.00","1,579.00",-,0.19%
2018年10月23日,"1,577.00","1,577.00","1,577.00","1,577.00",-,-0.13%
2018年10月24日,"1,546.00","1,546.00","1,546.00","1,546.00",-,-1.97%
2018年10月25日,"1,516.00","1,516.00","1,516.00","1,516.00",-,-1.94%
2018年10月26日,"1,519.00","1,519.00","1,519.00","1,519.00",-,0.20%
2018年10月29日,"1,522.00","1,522.00","1,522.00","1,522.00",-,0.20%
2018年10月30日,"1,513.00","1,513.00","1,513.00","1,513.00",-,-0.59%
2018年10月31日,"1,490.00","1,490.00","1,490.00","1,490.00",-,-1.52%
2018年11月1日,"1,470.00","1,470.00","1,470.00","1,470.00",-,-1.34%
2018年11月2日,"1,457.00","1,457.00","1,457.00","1,457.00",-,-0.88%
2018年11月5日,"1,428.00","1,428.00","1,428.00","1,428.00",-,-1.99%
2018年11月6日,"1,395.00","1,395.00","1,395.00","1,395.00",-,-2.31%
2018年11月7日,"1,304.00","1,304.00","1,304.00","1,304.00",-,-6.52%
2018年11月8日,"1,231.00","1,231.00","1,231.00","1,231.00",-,-5.60%
2018年11月9日,"1,147.00","1,147.00","1,147.00","1,147.00",-,-6.82%
2018年11月12日,"1,125.00","1,125.00","1,125.00","1,125.00",-,-1.92%
2018年11月13日,"1,064.00","1,064.00","1,064.00","1,064.00",-,-5.42%
2018年11月14日,"1,009.00","1,009.00","1,009.00","1,009.00",-,-5.17%
2018年11月15日,"1,020.00","1,020.00","1,020.00","1,020.00",-,1.09%
2018年11月16日,"1,031.00","1,031.00","1,031.00","1,031.00",-,1.08%
2018年11月19日,"1,023.00","1,023.00","1,023.00","1,023.00",-,-0.78%
2018年11月20日,"1,003.00","1,003.00","1,003.00","1,003.00",-,-1.96%
2018年11月21日,"1,008.00","1,008.00","1,008.00","1,008.00",-,0.50%
2018年11月22日,"1,018.00","1,018.00","1,018.00","1,018.00",-,0.99%
2018年11月23日,"1,093.00","1,093.00","1,093.00","1,093.00",-,7.37%
2018年11月26日,"1,217.00","1,217.00","1,217.00","1,217.00",-,11.34%
2018年11月27日,"1,339.00","1,339.00","1,339.00","1,339.00",-,10.02%
2018年11月28日,"1,330.00","1,330.00","1,330.00","1,330.00",-,-0.67%
2018年11月29日,"1,281.00","1,281.00","1,281.00","1,281.00",-,-3.68%
2018年11月30日,"1,231.00","1,231.00","1,231.00","1,231.00",-,-3.90%
2018年12月3日,"1,203.00","1,203.00","1,203.00","1,203.00",-,-2.27%
2018年12月4日,"1,237.00","1,237.00","1,237.00","1,237.00",-,2.83%
2018年12月5日,"1,296.00","1,296.00","1,296.00","1,296.00",-,4.77%
2018年12月6日,"1,339.00","1,339.00","1,339.00","1,339.00",-,3.32%
2018年12月7日,"1,372.00","1,372.00","1,372.00","1,372.00",-,2.46%
2018年12月10日,"1,385.00","1,385.00","1,385.00","1,385.00",-,0.95%
2018年12月11日,"1,364.00","1,364.00","1,364.00","1,364.00",-,-1.52%
2018年12月12日,"1,353.00","1,353.00","1,353.00","1,353.00",-,-0.81%
2018年12月13日,"1,365.00","1,365.00","1,365.00","1,365.00",-,0.89%
2018年12月14日,"1,401.00","1,401.00","1,401.00","1,401.00",-,2.64%
2018年12月17日,"1,406.00","1,406.00","1,406.00","1,406.00",-,0.36%
2018年12月18日,"1,395.00","1,395.00","1,395.00","1,395.00",-,-0.78%
2018年12月19日,"1,378.00","1,378.00","1,378.00","1,378.00",-,-1.22%
2018年12月20日,"1,318.00","1,318.00","1,318.00","1,318.00",-,-4.35%
2018年12月21日,"1,279.00","1,279.00","1,279.00","1,279.00",-,-2.96%
2018年12月24日,"1,271.00","1,271.00","1,271.00","1,271.00",-,-0.63%
2019年1月2日,"1,282.00","1,282.00","1,282.00","1,282.00",-,0.87%
2019年1月3日,"1,267.00","1,267.00","1,267.00","1,267.00",-,-1.17%
2019年1月4日,"1,260.00","1,260.00","1,260.00","1,260.00",-,-0.55%
2019年1月7日,"1,247.00","1,247.00","1,247.00","1,247.00",-,-1.03%
2019年1月8日,"1,262.00","1,262.00","1,262.00","1,262.00",-,1.20%
2019年1月9日,"1,238.00","1,238.00","1,238.00","1,238.00",-,-1.90%
2019年1月10日,"1,189.00","1,189.00","1,189.00","1,189.00",-,-3.96%
2019年1月11日,"1,169.00","1,169.00","1,169.00","1,169.00",-,-1.68%
2019年1月14日,"1,147.00","1,147.00","1,147.00","1,147.00",-,-1.88%
2019年1月15日,"1,096.00","1,096.00","1,096.00","1,096.00",-,-4.45%
2019年1月16日,"1,055.00","1,055.00","1,055.00","1,055.00",-,-3.74%
2019年1月17日,"1,077.00","1,077.00","1,077.00","1,077.00",-,2.09%
2019年1月18日,"1,112.00","1,112.00","1,112.00","1,112.00",-,3.25%
2019年1月21日,"1,092.00","1,092.00","1,092.00","1,092.00",-,-1.80%
2019年1月22日,"1,036.00","1,036.00","1,036.00","1,036.00",-,-5.13%
2019年1月23日,982,982,982,982,-,-5.21%
2019年1月24日,939,939,939,939,-,-4.38%
2019年1月25日,905,905,905,905,-,-3.62%
2019年1月28日,852,852,852,852,-,-5.86%
2019年1月29日,797,797,797,797,-,-6.46%
2019年1月30日,721,721,721,721,-,-9.54%
2019年1月31日,668,668,668,668,-,-7.35%
2019年2月1日,645,645,645,645,-,-3.44%
2019年2月4日,634,634,634,634,-,-1.71%
2019年2月5日,629,629,629,629,-,-0.79%
2019年2月6日,629,629,629,629,-,0.00%
2019年2月7日,610,610,610,610,-,-3.02%
2019年2月8日,601,601,601,601,-,-1.48%
2019年2月11日,595,595,595,595,-,-1.00%
2019年2月12日,598,598,598,598,-,0.50%
2019年2月13日,608,608,608,608,-,1.67%
2019年2月14日,628,628,628,628,-,3.29%
2019年2月15日,639,639,639,639,-,1.75%
2019年2月18日,643,643,643,643,-,0.63%
2019年2月19日,635,635,635,635,-,-1.24%
2019年2月20日,622,622,622,622,-,-2.05%
2019年2月21日,630,630,630,630,-,1.29%
2019年2月22日,634,634,634,634,-,0.63%
2019年2月25日,637,637,637,637,-,0.47%
2019年2月26日,649,649,649,649,-,1.88%
2019年2月27日,651,651,651,651,-,0.31%
2019年2月28日,658,658,658,658,-,1.08%
2019年3月1日,664,664,664,664,-,0.91%
2019年3月4日,669,669,669,669,-,0.75%
2019年3月5日,663,663,663,663,-,-0.90%
2019年3月6日,664,664,664,664,-,0.15%
2019年3月7日,657,657,657,657,-,-1.05%
2019年3月8日,649,649,649,649,-,-1.22%
2019年3月11日,645,645,645,645,-,-0.62%
2019年3月12日,647,647,647,647,-,0.31%
2019年3月13日,654,654,654,654,-,1.08%
2019年3月14日,677,677,677,677,-,3.52%
2019年3月15日,730,730,730,730,-,7.83%
2019年3月18日,721,721,721,721,-,-1.23%
2019年3月19日,712,712,712,712,-,-1.25%
2019年3月20日,709,709,709,709,-,-0.42%
2019年3月21日,695,695,695,695,-,-1.97%
2019年3月22日,690,690,690,690,-,-0.72%
2019年3月25日,689,689,689,689,-,-0.14%
2019年3月26日,683,683,683,683,-,-0.87%
2019年3月27日,690,690,690,690,-,1.02%
2019年3月28日,692,692,692,692,-,0.29%
2019年3月29日,689,689,689,689,-,-0.43%
2019年4月1日,685,685,685,685,-,-0.58%
2019年4月2日,674,674,674,674,-,-1.61%
2019年4月3日,672,672,672,672,-,-0.30%
2019年4月4日,699,699,699,699,-,4.02%
2019年4月5日,711,711,711,711,-,1.72%
2019年4月8日,714,714,714,714,-,0.42%
2019年4月9日,725,725,725,725,-,1.54%
2019年4月10日,734,734,734,734,-,1.24%
2019年4月11日,728,728,728,728,-,-0.82%
2019年4月12日,726,726,726,726,-,-0.27%
2019年4月15日,738,738,738,738,-,1.65%
2019年4月16日,749,749,749,749,-,1.49%
2019年4月17日,767,767,767,767,-,2.40%
2019年4月18日,790,790,790,790,-,3.00%
2019年4月23日,821,821,821,821,-,3.92%
2019年4月24日,850,850,850,850,-,3.53%
2019年4月25日,869,869,869,869,-,2.24%
2019年4月26日,889,889,889,889,-,2.30%
2019年4月29日,913,913,913,913,-,2.70%
2019年4月30日,"1,011.00","1,011.00","1,011.00","1,011.00",-,10.73%
2019年5月1日,"1,031.00","1,031.00","1,031.00","1,031.00",-,1.98%
2019年5月2日,"1,032.00","1,032.00","1,032.00","1,032.00",-,0.10%
2019年5月3日,985,985,985,985,-,-4.55%
2019年5月7日,936,936,936,936,-,-4.97%
2019年5月8日,940,940,940,940,-,0.43%
2019年5月9日,974,974,974,974,-,3.62%
2019年5月10日,"1,013.00","1,013.00","1,013.00","1,013.00",-,4.00%
2019年5月13日,"1,026.00","1,026.00","1,026.00","1,026.00",-,1.28%
2019年5月14日,"1,043.00","1,043.00","1,043.00","1,043.00",-,1.66%
2019年5月15日,"1,032.00","1,032.00","1,032.00","1,032.00",-,-1.05%
2019年5月16日,"1,032.00","1,032.00","1,032.00","1,032.00",-,0.00%
2019年5月17日,"1,040.00","1,040.00","1,040.00","1,040.00",-,0.78%
2019年5月20日,"1,041.00","1,041.00","1,041.00","1,041.00",-,0.10%
2019年5月21日,"1,049.00","1,049.00","1,049.00","1,049.00",-,0.77%
2019年5月22日,"1,059.00","1,059.00","1,059.00","1,059.00",-,0.95%
2019年5月23日,"1,068.00","1,068.00","1,068.00","1,068.00",-,0.85%
2019年5月24日,"1,066.00","1,066.00","1,066.00","1,066.00",-,-0.19%
2019年5月28日,"1,082.00","1,082.00","1,082.00","1,082.00",-,1.50%
2019年5月29日,"1,107.00","1,107.00","1,107.00","1,107.00",-,2.31%
2019年5月30日,"1,097.00","1,097.00","1,097.00","1,097.00",-,-0.90%
2019年5月31日,"1,096.00","1,096.00","1,096.00","1,096.00",-,-0.09%
2019年6月3日,"1,103.00","1,103.00","1,103.00","1,103.00",-,0.64%
2019年6月4日,"1,122.00","1,122.00","1,122.00","1,122.00",-,1.72%
2019年6月5日,"1,141.00","1,141.00","1,141.00","1,141.00",-,1.69%
2019年6月6日,"1,138.00","1,138.00","1,138.00","1,138.00",-,-0.26%
2019年6月7日,"1,138.00","1,138.00","1,138.00","1,138.00",-,0.00%
2019年6月10日,"1,125.00","1,125.00","1,125.00","1,125.00",-,-1.14%
2019年6月11日,"1,105.00","1,105.00","1,105.00","1,105.00",-,-1.78%
2019年6月12日,"1,080.00","1,080.00","1,080.00","1,080.00",-,-2.26%
2019年6月13日,"1,062.00","1,062.00","1,062.00","1,062.00",-,-1.67%
2019年6月14日,"1,085.00","1,085.00","1,085.00","1,085.00",-,2.17%
2019年6月17日,"1,093.00","1,093.00","1,093.00","1,093.00",-,0.74%
2019年6月18日,"1,135.00","1,135.00","1,135.00","1,135.00",-,3.84%
2019年6月19日,"1,179.00","1,179.00","1,179.00","1,179.00",-,3.88%
2019年6月20日,"1,194.00","1,194.00","1,194.00","1,194.00",-,1.27%
2019年6月21日,"1,239.00","1,239.00","1,239.00","1,239.00",-,3.77%
2019年6月24日,"1,258.00","1,258.00","1,258.00","1,258.00",-,1.53%
2019年6月25日,"1,280.00","1,280.00","1,280.00","1,280.00",-,1.75%
2019年6月26日,"1,317.00","1,317.00","1,317.00","1,317.00",-,2.89%
2019年6月27日,"1,340.00","1,340.00","1,340.00","1,340.00",-,1.75%
2019年6月28日,"1,354.00","1,354.00","1,354.00","1,354.00",-,1.04%
2019年7月1日,"1,381.00","1,381.00","1,381.00","1,381.00",-,1.99%
2019年7月2日,"1,446.00","1,446.00","1,446.00","1,446.00",-,4.71%
2019年7月3日,"1,549.00","1,549.00","1,549.00","1,549.00",-,7.12%
2019年7月4日,"1,700.00","1,700.00","1,700.00","1,700.00",-,9.75%
2019年7月5日,"1,740.00","1,740.00","1,740.00","1,740.00",-,2.35%
2019年7月8日,"1,725.00","1,725.00","1,725.00","1,725.00",-,-0.86%
2019年7月9日,"1,759.00","1,759.00","1,759.00","1,759.00",-,1.97%
2019年7月10日,"1,777.00","1,777.00","1,777.00","1,777.00",-,1.02%
2019年7月11日,"1,816.00","1,816.00","1,816.00","1,816.00",-,2.19%
2019年7月12日,"1,865.00","1,865.00","1,865.00","1,865.00",-,2.70%
2019年7月15日,"1,928.00","1,928.00","1,928.00","1,928.00",-,3.38%
2019年7月16日,"2,011.00","2,011.00","2,011.00","2,011.00",-,4.30%
2019年7月17日,"2,064.00","2,064.00","2,064.00","2,064.00",-,2.64%
2019年7月18日,"2,130.00","2,130.00","2,130.00","2,130.00",-,3.20%
2019年7月19日,"2,170.00","2,170.00","2,170.00","2,170.00",-,1.88%
2019年7月22日,"2,191.00","2,191.00","2,191.00","2,191.00",-,0.97%
2019年7月23日,"2,165.00","2,165.00","2,165.00","2,165.00",-,-1.19%
2019年7月24日,"2,014.00","2,014.00","2,014.00","2,014.00",-,-6.97%
2019年7月25日,"1,947.00","1,947.00","1,947.00","1,947.00",-,-3.33%
2019年7月26日,"1,937.00","1,937.00","1,937.00","1,937.00",-,-0.51%
2019年7月29日,"1,922.00","1,922.00","1,922.00","1,922.00",-,-0.77%
2019年7月30日,"1,899.00","1,899.00","1,899.00","1,899.00",-,-1.20%
2019年7月31日,"1,868.00","1,868.00","1,868.00","1,868.00",-,-1.63%
2019年8月1日,"1,812.00","1,812.00","1,812.00","1,812.00",-,-3.00%
2019年8月2日,"1,788.00","1,788.00","1,788.00","1,788.00",-,-1.32%
2019年8月5日,"1,774.00","1,774.00","1,774.00","1,774.00",-,-0.78%
2019年8月6日,"1,734.00","1,734.00","1,734.00","1,734.00",-,-2.25%
2019年8月7日,"1,712.00","1,712.00","1,712.00","1,712.00",-,-1.27%
2019年8月8日,"1,720.00","1,720.00","1,720.00","1,720.00",-,0.47%
2019年8月9日,"1,748.00","1,748.00","1,748.00","1,748.00",-,1.63%
2019年8月12日,"1,774.00","1,774.00","1,774.00","1,774.00",-,1.49%
2019年8月13日,"1,864.00","1,864.00","1,864.00","1,864.00",-,5.07%
2019年8月14日,"1,950.00","1,950.00","1,950.00","1,950.00",-,4.61%
2019年8月15日,"2,047.00","2,047.00","2,047.00","2,047.00",-,4.97%
2019年8月16日,"2,088.00","2,088.00","2,088.00","2,088.00",-,2.00%
2019年8月19日,"2,067.00","2,067.00","2,067.00","2,067.00",-,-1.01%
2019年8月20日,"2,059.00","2,059.00","2,059.00","2,059.00",-,-0.39%
2019年8月21日,"2,061.00","2,061.00","2,061.00","2,061.00",-,0.10%
2019年8月22日,"2,118.00","2,118.00","2,118.00","2,118.00",-,2.77%
2019年8月23日,"2,168.00","2,168.00","2,168.00","2,168.00",-,2.36%
2019年8月27日,"2,213.00","2,213.00","2,213.00","2,213.00",-,2.08%
2019年8月28日,"2,267.00","2,267.00","2,267.00","2,267.00",-,2.44%
2019年8月29日,"2,277.00","2,277.00","2,277.00","2,277.00",-,0.44%
2019年8月30日,"2,378.00","2,378.00","2,378.00","2,378.00",-,4.44%
2019年9月2日,"2,442.00","2,442.00","2,442.00","2,442.00",-,2.69%
2019年9月3日,"2,501.00","2,501.00","2,501.00","2,501.00",-,2.42%
2019年9月4日,"2,518.00","2,518.00","2,518.00","2,518.00",-,0.68%
2019年9月5日,"2,499.00","2,499.00","2,499.00","2,499.00",-,-0.75%
2019年9月6日,"2,462.00","2,462.00","2,462.00","2,462.00",-,-1.48%
2019年9月9日,"2,422.00","2,422.00","2,422.00","2,422.00",-,-1.62%
2019年9月10日,"2,393.00","2,393.00","2,393.00","2,393.00",-,-1.20%
2019年9月11日,"2,366.00","2,366.00","2,366.00","2,366.00",-,-1.13%
2019年9月12日,"2,331.00","2,331.00","2,331.00","2,331.00",-,-1.48%
2019年9月13日,"2,312.00","2,312.00","2,312.00","2,312.00",-,-0.82%
2019年9月16日,"2,311.00","2,311.00","2,311.00","2,311.00",-,-0.04%
2019年9月17日,"2,283.00","2,283.00","2,283.00","2,283.00",-,-1.21%
2019年9月18日,"2,266.00","2,266.00","2,266.00","2,266.00",-,-0.74%
2019年9月19日,"2,192.00","2,192.00","2,192.00","2,192.00",-,-3.27%
2019年9月20日,"2,131.00","2,131.00","2,131.00","2,131.00",-,-2.78%
2019年9月23日,"2,108.00","2,108.00","2,108.00","2,108.00",-,-1.08%
2019年9月24日,"2,116.00","2,116.00","2,116.00","2,116.00",-,0.38%
2019年9月25日,"2,053.00","2,053.00","2,053.00","2,053.00",-,-2.98%
2019年9月26日,"1,963.00","1,963.00","1,963.00","1,963.00",-,-4.38%
2019年9月27日,"1,857.00","1,857.00","1,857.00","1,857.00",-,-5.40%
2019年9月30日,"1,823.00","1,823.00","1,823.00","1,823.00",-,-1.83%
2019年10月1日,"1,809.00","1,809.00","1,809.00","1,809.00",-,-0.77%
2019年10月2日,"1,803.00","1,803.00","1,803.00","1,803.00",-,-0.33%
2019年10月3日,"1,757.00","1,757.00","1,757.00","1,757.00",-,-2.55%
2019年10月4日,"1,767.00","1,767.00","1,767.00","1,767.00",-,0.57%
2019年10月7日,"1,770.00","1,770.00","1,770.00","1,770.00",-,0.17%
2019年10月8日,"1,801.00","1,801.00","1,801.00","1,801.00",-,1.75%
2019年10月9日,"1,873.00","1,873.00","1,873.00","1,873.00",-,4.00%
2019年10月10日,"1,929.00","1,929.00","1,929.00","1,929.00",-,2.99%
2019年10月11日,"1,924.00","1,924.00","1,924.00","1,924.00",-,-0.26%
2019年10月14日,"1,916.00","1,916.00","1,916.00","1,916.00",-,-0.42%
2019年10月15日,"1,898.00","1,898.00","1,898.00","1,898.00",-,-0.94%
2019年10月16日,"1,897.00","1,897.00","1,897.00","1,897.00",-,-0.05%
2019年10月17日,"1,861.00","1,861.00","1,861.00","1,861.00",-,-1.90%
2019年10月18日,"1,855.00","1,855.00","1,855.00","1,855.00",-,-0.32%
2019年10月21日,"1,846.00","1,846.00","1,846.00","1,846.00",-,-0.49%
2019年10月22日,"1,806.00","1,806.00","1,806.00","1,806.00",-,-2.17%
2019年10月23日,"1,779.00","1,779.00","1,779.00","1,779.00",-,-1.50%
2019年10月24日,"1,785.00","1,785.00","1,785.00","1,785.00",-,0.34%
2019年10月25日,"1,801.00","1,801.00","1,801.00","1,801.00",-,0.90%
2019年10月28日,"1,803.00","1,803.00","1,803.00","1,803.00",-,0.11%
2019年10月29日,"1,802.00","1,802.00","1,802.00","1,802.00",-,-0.06%
2019年10月30日,"1,782.00","1,782.00","1,782.00","1,782.00",-,-1.11%
2019年10月31日,"1,731.00","1,731.00","1,731.00","1,731.00",-,-2.86%
2019年11月1日,"1,697.00","1,697.00","1,697.00","1,697.00",-,-1.96%
2019年11月4日,"1,675.00","1,675.00","1,675.00","1,675.00",-,-1.30%
2019年11月5日,"1,656.00","1,656.00","1,656.00","1,656.00",-,-1.13%
2019年11月6日,"1,533.00","1,533.00","1,533.00","1,533.00",-,-7.43%
2019年11月7日,"1,428.00","1,428.00","1,428.00","1,428.00",-,-6.85%
2019年11月8日,"1,378.00","1,378.00","1,378.00","1,378.00",-,-3.50%
2019年11月11日,"1,345.00","1,345.00","1,345.00","1,345.00",-,-2.39%
2019年11月12日,"1,354.00","1,354.00","1,354.00","1,354.00",-,0.67%
2019年11月13日,"1,365.00","1,365.00","1,365.00","1,365.00",-,0.81%
2019年11月14日,"1,364.00","1,364.00","1,364.00","1,364.00",-,-0.07%
2019年11月15日,"1,357.00","1,357.00","1,357.00","1,357.00",-,-0.51%
2019年11月18日,"1,338.00","1,338.00","1,338.00","1,338.00",-,-1.40%
2019年11月19日,"1,304.00","1,304.00","1,304.00","1,304.00",-,-2.54%
2019年11月20日,"1,260.00","1,260.00","1,260.00","1,260.00",-,-3.37%
2019年11月21日,"1,255.00","1,255.00","1,255.00","1,255.00",-,-0.40%
2019年11月22日,"1,284.00","1,284.00","1,284.00","1,284.00",-,2.31%
2019年11月25日,"1,351.00","1,351.00","1,351.00","1,351.00",-,5.22%
2019年11月26日,"1,426.00","1,426.00","1,426.00","1,426.00",-,5.55%
2019年11月27日,"1,440.00","1,440.00","1,440.00","1,440.00",-,0.98%
2019年11月28日,"1,467.00","1,467.00","1,467.00","1,467.00",-,1.88%
2019年11月29日,"1,528.00","1,528.00","1,528.00","1,528.00",-,4.16%
2019年12月2日,"1,568.00","1,568.00","1,568.00","1,568.00",-,2.62%
2019年12月3日,"1,606.00","1,606.00","1,606.00","1,606.00",-,2.42%
2019年12月4日,"1,599.00","1,599.00","1,599.00","1,599.00",-,-0.44%
2019年12月5日,"1,575.00","1,575.00","1,575.00","1,575.00",-,-1.50%
2019年12月6日,"1,558.00","1,558.00","1,558.00","1,558.00",-,-1.08%
2019年12月9日,"1,551.00","1,551.00","1,551.00","1,551.00",-,-0.45%
2019年12月10日,"1,528.00","1,528.00","1,528.00","1,528.00",-,-1.48%
2019年12月11日,"1,460.00","1,460.00","1,460.00","1,460.00",-,-4.45%
2019年12月12日,"1,388.00","1,388.00","1,388.00","1,388.00",-,-4.93%
2019年12月13日,"1,355.00","1,355.00","1,355.00","1,355.00",-,-2.38%
2019年12月16日,"1,315.00","1,315.00","1,315.00","1,315.00",-,-2.95%
2019年12月17日,"1,281.00","1,281.00","1,281.00","1,281.00",-,-2.59%
2019年12月18日,"1,221.00","1,221.00","1,221.00","1,221.00",-,-4.68%
2019年12月19日,"1,151.00","1,151.00","1,151.00","1,151.00",-,-5.73%
2019年12月20日,"1,123.00","1,123.00","1,123.00","1,123.00",-,-2.43%
2019年12月23日,"1,103.00","1,103.00","1,103.00","1,103.00",-,-1.78%
2019年12月24日,"1,090.00","1,090.00","1,090.00","1,090.00",-,-1.18%
2020年1月2日,976,976,976,976,-,-10.46%
2020年1月3日,907,907,907,907,-,-7.07%
2020年1月6日,844,844,844,844,-,-6.95%
2020年1月7日,791,791,791,791,-,-6.28%
2020年1月8日,773,773,773,773,-,-2.28%
2020年1月9日,772,772,772,772,-,-0.13%
2020年1月10日,774,774,774,774,-,0.26%
2020年1月13日,765,765,765,765,-,-1.16%
2020年1月14日,763,763,763,763,-,-0.26%
2020年1月15日,768,768,768,768,-,0.66%
2020年1月16日,768,768,768,768,-,0.00%
2020年1月17日,754,754,754,754,-,-1.82%
2020年1月20日,729,729,729,729,-,-3.32%
2020年1月21日,689,689,689,689,-,-5.49%
2020年1月22日,623,623,623,623,-,-9.58%
2020年1月23日,576,576,576,576,-,-7.54%
